|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|20. (Kimyasallar Ve Kimyasal Ürünler)|2025|3606.6|3668.69|3746.1|3865.15|3912.72|3989.19|4095.82|4159.08|4222.48|4262.73|4289.72|4375.49|
||2026|4531.93||||||||||||
|20.1. (Temel Kimyasallar, Gübreler Ve Azot Bileşikleri İle Birincil Formda Plastik Ve Sentetik Kauçuk)|2025|6194.63|6352.38|6467.1|6679.65|6713.89|6830.9|7016.04|7091.12|7244.01|7233.58|7254.03|7372.29|
||2026|7532.79||||||||||||
|20.2. (Haşere İlaçları Ve Diğer Zirai Kimyasal Ürünler)|2025|2006.21|2014.38|2013.34|2024.59|2033.3|2048.66|2171.04|2202.09|2190.64|2180.73|2189.4|2188.6|
||2026|2281.37||||||||||||
|20.3. (Boya, Vernik Ve Benzeri Kaplayıcı Maddeler İle Matbaa Mürekkepleri Ve Macunlar)|2025|2439.29|2455.16|2523.18|2617.92|2665.27|2705.62|2788.74|2870.9|2939.87|2976.13|3024.37|3103.71|
||2026|3388.14||||||||||||
|20.4. (Sabun Ve Deterjanlar, Temizleme Ve Cilalama Ürünleri, Parfüm Ve Bakım Ürünleri)|2025|1703.38|1728.88|1753.55|1800.49|1819.43|1877.49|1928.61|1933.5|1941.66|1996.61|1974.89|2023.53|
||2026|2083.52||||||||||||
|20.5. (Diğer Kimyasal Ürünler)|2025|3242.04|3308.19|3405.88|3517.18|3615.45|3704.83|3758.51|3854.94|3876.42|3907.7|3989.37|4033.21|
||2026|4092.81||||||||||||
|20.6. (Suni Ve Sentetik Elyaflar)|2025|3240.91|3320.29|3408.12|3480.0|3506.77|3497.89|3552.8|3567.79|3552.12|3554.97|3621.06|3688.57|
||2026|3897.88||||||||||||
|21. (Temel Eczacılık Ürünleri Ve Müstahzarları)|2025|1003.12|1004.08|1011.36|1011.98|1020.49|1022.4|1022.21|1025.63|1028.11|1030.05|1027.39|1134.64|
||2026|1204.68||||||||||||
|21.1. (Temel Eczacılık Ürünleri)|2025|1001.84|1045.69|1082.75|1088.69|1090.39|1097.88|1102.84|1113.46|1139.79|1182.24|1157.06|1161.66|
||2026|1176.53||||||||||||
|21.2. (Eczacılık Müstahzarları)|2025|994.92|994.59|1000.92|1001.37|1010.02|1011.75|1011.4|1014.58|1016.33|1017.03|1015.07|1124.52|
||2026|1194.78||||||||||||
|22. (Kauçuk Ve Plastik Ürünler)|2025|2847.0|2928.8|2999.06|3095.64|3159.36|3216.78|3294.7|3333.47|3382.78|3425.61|3452.82|3482.57|
||2026|3566.3||||||||||||
|22.1. (Kauçuk Ürünler)|2025|2952.51|3110.96|3179.58|3297.85|3345.74|3422.32|3505.88|3529.56|3611.86|3679.61|3702.48|3728.61|
||2026|3755.06||||||||||||
|22.2. (Plastik Ürünler)|2025|2833.09|2898.16|2969.02|3061.11|3128.55|3181.92|3258.85|3301.09|3343.25|3380.7|3408.96|3439.62|
||2026|3534.37||||||||||||
|23. (Diğer Metalik Olmayan Mineral Ürünler)|2025|4537.23|4641.23|4700.89|4743.75|4808.92|4910.55|4972.28|5053.99|5110.09|5170.07|5216.99|5277.72|
||2026|5454.97||||||||||||
|23.1. (Cam Ve Cam Ürünleri)|2025|3386.89|3465.48|3544.6|3717.2|3862.45|3949.27|4105.87|4211.5|4254.61|4331.21|4369.09|4456.75|
||2026|4573.89||||||||||||
|23.2. (Ateşe Dayanıklı Ürünler)|2025|5294.75|5342.86|5465.2|5702.03|5809.02|5866.21|5998.12|6077.82|6130.64|6210.85|6239.11|6278.1|
||2026|6356.19||||||||||||
|23.3. (Kilden İnşaat Malzemesi)|2025|3286.53|3398.12|3532.72|3457.02|3471.42|3583.84|3637.34|3644.44|3665.48|3725.62|3787.32|3705.05|
||2026|3771.39||||||||||||
|23.4. (Diğer Porselen Ve Seramik Ürünler)|2025|3446.79|3632.92|3651.34|3855.39|3935.53|3981.14|4098.43|4229.37|4338.74|4236.54|4353.32|4412.41|
||2026|4770.64||||||||||||
|23.5. (Çimento, Kireç Ve Alçı)|2025|4522.73|4628.65|4647.8|4619.65|4720.34|4848.24|4879.59|4979.79|5022.35|5103.1|5156.8|5283.07|
||2026|5457.27||||||||||||
|23.6. (Betondan, Çimentodan Ve Alçıdan Eşyalar)|2025|4682.25|4770.21|4817.77|4859.63|4873.81|4949.84|4999.19|5074.75|5136.46|5171.92|5208.56|5257.12|
||2026|5444.52||||||||||||
|23.7. (Taş (Kesilmiş, Şekil Verilmiş Ve Tamamlanmış))|2025|2532.29|2604.82|2679.14|2725.98|2778.92|2834.08|2841.79|2866.86|2914.91|2969.09|2998.49|2994.66|
||2026|3128.6||||||||||||
|23.9. (Metalik Olmayan Diğer Mineral Ürünler)|2025|1445.2|1486.59|1507.25|1521.23|1545.53|1592.11|1597.41|1609.28|1629.38|1661.29|1667.54|1673.57|
||2026|1728.12||||||||||||
|24. (Ana Metaller)|2025|5406.99|5462.92|5566.78|5750.9|5882.18|5986.06|6034.24|6100.24|6187.73|6350.02|6453.42|6568.1|
||2026|6710.15||||||||||||
|24.1. (Ana Demir-Çelik Ve Ferro Alaşımlar)|2025|4887.58|4909.07|4993.48|5133.5|5256.64|5341.53|5368.02|5418.41|5453.7|5572.5|5656.09|5733.14|
||2026|5761.85||||||||||||
|24.2. (Tüp, Boru, İçi Boş Profiller Ve İlgili Bağlantı Parçaları, Çelikten)|2025|3888.27|3855.56|3894.06|4002.18|4048.85|4052.63|4081.49|4135.07|4199.62|4269.32|4288.8|4334.93|
||2026|4437.79||||||||||||
|24.3. (Çeliğin İlk İşlenmesinde Elde Edilen Diğer Ürünler)|2025|3947.34|4025.79|4102.96|4258.01|4317.62|4378.57|4468.37|4479.98|4555.73|4617.85|4632.68|4664.83|
||2026|4747.74||||||||||||
|24.4. (Değerli Ana Metaller Ve Diğer Demir Dışı Metaller)|2025|8902.12|9581.82|9976.03|10666.39|11083.01|11556.01|11730.5|11988.28|12801.2|13947.4|14655.95|15501.87|
||2026|16710.47||||||||||||
|24.5. (Metal Döküm Hizmetleri)|2025|5081.75|5169.49|5291.41|5523.53|5596.7|5742.79|5865.68|5954.28|6063.35|6100.12|6123.01|6214.37|
||2026|6391.89||||||||||||
|25. (Fabrikasyon Metal Ürünler, Makine Ve Ekipmanlar Hariç)|2025|3459.25|3535.88|3634.53|3724.66|3783.84|3852.19|3940.95|3979.18|4051.75|4110.39|4154.99|4220.83|
||2026|4364.1||||||||||||
|25.1. (Metal Yapı Ürünleri)|2025|5135.38|5208.13|5335.14|5448.42|5559.77|5665.21|5834.47|5864.85|5950.86|6001.27|6024.81|6150.03|
||2026|6335.62||||||||||||
|25.2. (Tank, Rezervuar Ve Konteynerler, Metalden)|2025|2749.86|2830.89|2896.19|2960.6|3029.45|3070.49|3125.52|3163.35|3250.23|3292.64|3366.17|3437.06|
||2026|3591.34||||||||||||
|25.5. (Metalin Dövülmesi, Preslenmesi, Baskılanması Ve Haddelenmesi Hizmetleri; Toz Metalürjisi)|2025|2387.8|2458.49|2536.29|2642.44|2673.7|2721.67|2786.72|2790.88|2880.46|2915.4|2956.74|2991.98|
||2026|3049.58||||||||||||
|25.6. (Metallerin İşlenmesi Ve Kaplanması Hizmetleri; Makinede İşleme)|2025|1269.83|1288.72|1340.11|1378.45|1391.05|1411.5|1434.63|1460.34|1477.44|1487.78|1511.57|1531.4|
||2026|1587.49||||||||||||
|25.7. (Çatal-Bıçak Takımı, El Aletleri Ve Genel Hırdavat Malzemesi)|2025|2404.81|2486.39|2553.92|2607.1|2644.5|2698.34|2767.24|2802.66|2848.17|2911.6|2934.54|2955.61|
||2026|3110.16||||||||||||
|25.9. (Diğer Fabrikasyon Metal Ürünler)|2025|4014.71|4118.94|4214.5|4294.87|4356.96|4448.51|4532.41|4587.17|4663.01|4798.55|4848.06|4922.63|
||2026|5073.13||||||||||||
|26. (Bilgisayarlar İle Elektronik Ve Optik Ürünler)|2025|1068.44|1067.98|1079.0|1091.49|1108.85|1113.99|1141.36|1171.15|1193.25|1198.96|1272.88|1317.4|
||2026|1342.0||||||||||||
