|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|C1412. (İş Giysisi İmalatı)|2025|100.6|89.3|118.4|111.2|153.8|119.8|132.5|118.7|149.4|170.4|168.4|202.3|
|C1413. (Diğer Dış Giyim Eşyaları İmalatı)|2025|129.1|117.7|128.2|109.5|124.1|94.1|113.3|106.4|105.8|100.9|87.1|93.9|
|C1414. (İç Giyim Eşyası İmalatı)|2025|111.4|101.6|113.7|102.4|114.8|91.1|104.0|89.7|90.3|86.9|79.3|88.5|
|C1419. (Diğer Giyim Eşyalarının Ve Giysi Aksesuarlarının İmalatı)|2025|90.0|96.2|104.5|86.0|91.7|83.0|95.2|85.2|90.4|85.7|75.8|79.9|
|C142. (Kürkten Eşya İmalatı)|2025|170.5|174.1|122.4|125.1|132.5|193.0|176.6|187.0|169.9|174.1|140.1|140.8|
|C1420. (Kürkten Eşya İmalatı)|2025|170.5|174.1|122.4|125.1|132.5|193.0|176.6|187.0|169.9|174.1|140.1|140.8|
|C143. (Örme (Trikotaj) Ve Tığ İşi (Kroşe) Ürünlerin İmalatı)|2025|96.6|76.6|82.3|74.4|93.7|79.9|105.9|109.0|111.6|108.5|96.1|91.9|
|C1431. (Örme (Trikotaj) Ve Tığ İşi (Kroşe) Çorap İmalatı)|2025|95.7|81.7|87.0|77.4|95.0|71.3|96.8|94.4|92.4|90.9|87.0|89.4|
|C1439. (Örme (Trikotaj) Ve Tığ İşi (Kroşe) Diğer Giyim Eşyası İmalatı)|2025|96.1|69.8|75.8|69.8|90.7|88.1|114.0|123.1|130.6|125.8|104.4|93.0|
|C15. (Deri Ve İlgili Ürünlerin İmalatı)|2025|129.1|120.7|132.8|115.0|129.3|104.2|124.7|118.7|120.4|111.4|108.9|121.3|
|C151. (Derinin Tabaklanması Ve İşlenmesi; Bavul, El Çantası, Saraçlık Ve Koşum Takımı İmalatı; Kürkün İşlenmesi Ve Boyanması)|2025|146.8|136.5|154.3|152.3|174.8|155.1|185.4|166.1|170.7|151.9|149.3|179.9|
|C1511. (Derinin Tabaklanması Ve İşlenmesi; Kürkün İşlenmesi Ve Boyanması)|2025|109.7|110.0|123.0|129.6|150.4|136.7|147.5|127.5|136.4|131.0|143.1|167.7|
|C1512. (Bavul, El Çantası Ve Benzerleri İle Saraçlık Ve Koşum Takımı İmalatı (Deri Giyim Eşyası Hariç))|2025|197.3|174.3|198.5|186.4|212.1|184.6|238.9|219.3|219.3|184.0|164.5|203.6|
|C152. (Ayakkabı, Bot, Terlik Vb. İmalatı)|2025|117.1|109.8|119.1|95.3|105.5|79.0|94.6|94.5|94.9|90.4|88.0|92.3|
|C1520. (Ayakkabı, Bot, Terlik Vb. İmalatı)|2025|117.1|109.8|119.1|95.3|105.5|79.0|94.6|94.5|94.9|90.4|88.0|92.3|
|C16. (Ağaç, Ağaç Ürünleri Ve Mantar Ürünleri İmalatı (Mobilya Hariç); Saz, Saman Ve Benzeri Malzemelerden Örülerek Yapılan Eşyaların İmalatı)|2025|104.3|100.1|105.4|107.0|115.2|104.9|115.4|108.5|119.7|117.0|117.9|137.1|
|C161. (Ağaçların Biçilmesi Ve Planyalanması)|2025|103.0|95.2|95.7|102.5|123.6|106.5|131.2|128.1|128.3|130.5|121.5|157.0|
|C1610. (Ağaçların Biçilmesi Ve Planyalanması)|2025|103.0|95.2|95.7|102.5|123.6|106.5|131.2|128.1|128.3|130.5|121.5|157.0|
|C162. (Ağaç, Mantar, Kamış Ve Örgü Malzeme Ürünü İmalatı)|2025|104.3|100.5|106.3|107.3|114.1|104.6|113.5|106.2|118.6|115.3|117.4|134.7|
|C1621. (Ahşap Kaplama Paneli Ve Ağaç Esaslı Panel İmalatı)|2025|108.9|104.5|107.9|111.1|114.7|106.4|115.7|106.0|119.8|116.7|118.2|131.0|
|C1622. (Birleştirilmiş Parke Yer Döşemelerinin İmalatı)|2025|93.2|81.5|90.4|91.7|99.7|88.7|96.5|91.1|98.6|100.6|101.3|99.2|
|C1623. (Diğer Bina Doğramacılığı Ve Marangozluk Ürünlerinin İmalatı)|2025|100.9|99.8|119.8|105.1|125.9|116.8|122.8|121.2|135.1|132.7|147.3|209.8|
|C1624. (Ahşap Konteyner İmalatı)|2025|93.0|94.3|99.5|101.1|111.6|99.1|108.4|105.8|115.4|105.9|102.0|119.2|
|C1629. (Diğer Ağaç Ürünleri İmalatı; Mantardan, Saz, Saman Ve Benzeri Örme Malzemelerinden Yapılmış Ürünlerin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C17. (Kağıt Ve Kağıt Ürünlerinin İmalatı)|2025|97.5|91.2|97.8|99.3|103.3|89.5|103.1|101.5|99.9|100.8|98.9|105.5|
|C171. (Kağıt Hamuru, Kağıt Ve Mukavva İmalatı)|2025|89.8|83.4|90.4|90.2|97.7|75.3|89.5|82.8|87.2|91.2|82.2|92.9|
|C1712. (Kağıt Ve Mukavva İmalatı)|2025|89.8|83.4|90.4|90.2|97.7|75.3|89.5|82.8|87.2|91.2|82.2|92.9|
|C172. (Kağıt Ve Mukavva Ürünleri İmalatı)|2025|102.1|95.6|102.3|104.3|107.4|95.6|109.4|109.2|105.9|105.9|105.9|111.6|
|C1721. (Oluklu Kağıt Ve Mukavva İmalatı İle Kağıt Ve Mukavvadan Yapılan Muhafazaların İmalatı)|2025|105.5|94.4|99.7|104.3|104.1|86.4|102.0|95.8|99.7|104.0|100.0|103.4|
|C1722. (Kağıttan Yapılan Ev Eşyası, Sıhhi Malzemeler Ve Tuvalet Malzemeleri İmalatı)|2025|115.8|110.2|118.3|117.8|127.0|110.8|130.8|128.5|122.2|124.7|120.9|126.9|
|C1723. (Kağıt Kırtasiye Ürünleri İmalatı)|2025|62.5|64.3|74.9|86.2|78.2|71.3|108.9|129.5|129.3|73.1|73.2|107.8|
|C1724. (Duvar Kağıdı İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1729. (Kağıt Ve Mukavvadan Diğer Ürünlerin İmalatı)|2025|69.6|69.3|73.9|74.2|72.2|84.6|70.7|85.3|70.2|69.8|89.4|91.1|
|C18. (Kayıtlı Medyanın Basılması Ve Çoğaltılması)|2025|82.5|77.5|83.7|78.9|85.0|75.6|82.5|113.7|118.6|90.2|83.3|107.5|
|C181. (Basım Ve Basım İle İlgili Hizmet Faaliyetleri)|2025|83.1|77.9|84.2|79.3|85.6|75.9|82.8|114.4|119.0|90.4|83.8|106.5|
|C1811. (Gazetelerin Basımı)|2025|47.4|42.7|44.9|42.1|44.9|43.0|43.3|42.3|39.8|39.7|39.1|42.9|
|C1812. (Diğer Matbaacılık)|2025|85.9|80.1|87.0|81.9|88.3|78.3|85.1|121.1|125.4|94.1|85.3|107.6|
|C1813. (Basım Ve Yayım Öncesi Hizmetler)|2025|73.0|74.1|71.6|73.5|77.9|66.3|75.1|72.7|85.4|72.5|96.2|131.9|
|C1814. (Ciltçilik Ve İlgili Hizmetler)|2025|40.2|39.3|49.1|39.7|46.1|41.2|58.6|49.5|60.1|55.6|54.0|82.0|
|C182. (Kayıtlı Medyanın Çoğaltılması)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1820. (Kayıtlı Medyanın Çoğaltılması)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C19. (Kok Kömürü Ve Rafine Edilmiş Petrol Ürünleri İmalatı)|2025|98.3|91.9|103.3|109.5|109.1|106.3|114.8|113.2|106.7|106.7|99.7|107.8|
|C191. (Kok Fırını Ürünlerinin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1910. (Kok Fırını Ürünlerinin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C192. (Rafine Edilmiş Petrol Ürünleri İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1920. (Rafine Edilmiş Petrol Ürünleri İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C20. (Kimyasalların Ve Kimyasal Ürünlerin İmalatı)|2025|98.6|92.9|100.0|98.6|103.3|91.1|100.7|98.4|102.7|101.7|101.1|103.5|
|C201. (Temel Kimyasal Maddelerin, Kimyasal Gübre Ve Azot Bileşikleri, Birincil Formda Plastik Ve Sentetik Kauçuk İmalatı)|2025|93.8|87.5|93.8|94.4|95.1|86.1|94.6|93.8|94.5|95.1|93.1|96.7|
|C2011. (Sanayi Gazları İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2012. (Boya Maddeleri Ve Pigment İmalatı)|2025|85.7|81.9|85.6|85.4|78.8|72.1|88.0|79.9|77.9|81.7|80.1|82.3|
|C2013. (Diğer İnorganik Temel Kimyasal Maddelerin İmalatı)|2025|90.7|80.5|86.6|89.4|93.8|83.3|91.7|90.5|86.1|88.2|87.9|91.4|
|C2014. (Diğer Organik Temel Kimyasalların İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2015. (Kimyasal Gübre Ve Azot Bileşiklerinin İmalatı)|2025|101.5|109.7|115.5|115.7|96.4|79.0|83.7|103.2|105.4|114.1|101.4|112.6|
|C2016. (Birincil Formda Plastik Hammaddelerin İmalatı)|2025|97.3|90.6|97.0|95.4|99.7|94.1|102.3|97.9|104.3|100.3|99.0|101.0|
|C202. (Haşere İlaçları Ve Diğer Zirai-Kimyasal Ürünlerin İmalatı)|2025|149.4|118.8|142.7|142.8|136.9|155.0|87.9|95.8|149.3|83.7|88.3|87.6|
|C2020. (Haşere İlaçları Ve Diğer Zirai-Kimyasal Ürünlerin İmalatı)|2025|149.4|118.8|142.7|142.8|136.9|155.0|87.9|95.8|149.3|83.7|88.3|87.6|
