|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2026|115.71||||||||||||
|0431. (Konutun Bakım Ve Onarımı İçin Malzemeler Ve Güvenlik Ekipmanları)|2025|88.27|91.15|92.41|95.53|97.72|99.11|101.43|103.51|105.47|106.98|108.11|110.31|
||2026|115.42||||||||||||
|04311. (Konutun Bakım Ve Onarımı İçin Malzemeler)|2025|88.27|91.15|92.41|95.53|97.72|99.11|101.43|103.51|105.47|106.98|108.11|110.31|
||2026|115.42||||||||||||
|0432. (Konutun Bakım, Onarım Ve Güvenlik Hizmetleri)|2025|87.1|91.64|93.47|95.37|96.43|97.99|100.78|103.03|106.18|107.92|109.38|110.72|
||2026|116.35||||||||||||
|04320. (Konutun Bakım, Onarım Ve Güvenlik Hizmetleri)|2025|87.1|91.64|93.47|95.37|96.43|97.99|100.78|103.03|106.18|107.92|109.38|110.72|
||2026|116.35||||||||||||
|044. (Konutla İlgili Su Temini Ve Çeşitli Hizmetler)|2025|84.82|87.33|89.27|90.76|97.24|102.07|103.85|105.19|106.86|109.39|111.21|112.02|
||2026|120.22||||||||||||
|0441. (Su Temini)|2025|84.82|87.33|89.27|90.76|97.24|102.07|103.85|105.19|106.86|109.39|111.21|112.02|
||2026|120.22||||||||||||
|04411. (Su (Şebeke Suyu))|2025|84.82|87.33|89.27|90.76|97.24|102.07|103.85|105.19|106.86|109.39|111.21|112.02|
||2026|120.22||||||||||||
|045. (Elektrik, Gaz Ve Diğer Yakıtlar)|2025|83.54|87.54|87.86|95.51|96.67|96.54|106.69|107.34|107.79|109.33|110.0|111.18|
||2026|113.35||||||||||||
|0451. (Elektrik)|2025|77.44|85.73|85.14|102.85|105.31|104.36|106.61|106.75|106.03|106.5|106.3|106.98|
||2026|110.24||||||||||||
|04510. (Elektrik)|2025|77.44|85.73|85.14|102.85|105.31|104.36|106.61|106.75|106.03|106.5|106.3|106.98|
||2026|110.24||||||||||||
|0452. (Gaz)|2025|85.42|86.76|87.68|89.18|89.53|90.0|109.5|110.46|111.08|112.48|113.25|114.68|
||2026|115.84||||||||||||
|04521. (Doğalgaz Ve İlgili Abonelik Ücretleri)|2025|84.53|84.78|85.91|87.41|87.88|88.48|111.85|112.54|113.08|113.66|114.57|115.31|
||2026|116.06||||||||||||
|04522. (Tüpgaz (Ev Tüpü))|2025|89.2|95.21|95.18|96.68|96.53|96.45|99.51|101.61|102.55|107.46|107.62|112.0|
||2026|114.49||||||||||||
|0454. (Katı Yakıtlar)|2025|94.07|95.13|95.95|96.4|96.67|96.85|97.59|98.6|101.67|106.62|109.37|111.08|
||2026|113.1||||||||||||
|04541. (Kömür, Kömür Briketi Ve Turba)|2025|95.49|96.29|96.9|97.04|97.1|97.17|97.88|98.87|100.98|105.16|107.71|109.42|
||2026|110.76||||||||||||
|04542. (Yakacak Odun, Peletler Ve Briketler Dahil)|2025|90.33|92.09|93.46|94.72|95.52|96.0|96.84|97.91|103.49|110.47|113.72|115.45|
||2026|119.07||||||||||||
|05. (Mobilya, Mefruşat Ve Evde Kullanılan Ekipmanlar İle Rutin Ev Bakım Ve Onarımı)|2025|90.65|92.18|94.3|96.79|97.96|99.93|101.55|102.36|104.04|105.59|106.5|108.16|
||2026|111.61||||||||||||
|051. (Mobilya, Mefruşat Ve Halılar)|2025|92.41|93.19|95.49|99.65|100.37|100.42|101.66|101.09|101.68|103.45|104.45|106.14|
||2026|110.06||||||||||||
|0511. (Mobilya, Mefruşat Ve Halılar)|2025|92.41|93.19|95.49|99.65|100.37|100.42|101.66|101.09|101.68|103.45|104.45|106.14|
||2026|110.06||||||||||||
|05111. (Ev Mobilyaları)|2025|92.81|93.16|95.6|99.83|100.57|100.61|101.66|100.98|101.58|103.19|104.19|105.82|
||2026|109.39||||||||||||
|05114. (Mefruşat, Halılar Ve Kilimler)|2025|87.5|93.51|94.23|97.54|97.87|98.2|101.63|102.37|102.85|106.66|107.56|110.09|
||2026|116.59||||||||||||
|052. (Ev Tekstilleri)|2025|89.09|91.93|95.55|97.37|99.67|100.22|101.81|103.17|104.3|105.96|105.32|105.61|
||2026|107.78||||||||||||
|0521. (Ev Tekstilleri)|2025|89.09|91.93|95.55|97.37|99.67|100.22|101.81|103.17|104.3|105.96|105.32|105.61|
||2026|107.78||||||||||||
|05211. (Döşemelik Kumaşlar Ve Perdeler)|2025|89.19|92.33|94.25|96.44|98.73|99.91|101.87|103.37|104.45|105.88|106.51|107.07|
||2026|110.29||||||||||||
|05212. (Yatak Takımları Ve Yatak Olarak Kullanılan Eşyalar)|2025|88.65|90.88|96.35|98.18|100.61|100.65|101.92|103.09|104.35|105.96|104.7|104.65|
||2026|106.58||||||||||||
|05213. (Masa Ve Banyo Tekstili)|2025|91.51|96.67|97.66|97.22|98.7|99.16|100.77|102.5|103.14|106.36|102.7|103.61|
||2026|105.6||||||||||||
|05219. (Diğer Ev Tekstilleri)|2025||||||||||||100.0|
||2026|100.75||||||||||||
|053. (Ev Aletleri)|2025|90.79|91.98|94.3|95.12|96.8|99.64|100.93|102.37|105.25|106.53|107.31|108.96|
||2026|112.63||||||||||||
|0531. (Elektrikli Veya Elektriksiz Büyük Ev Aletleri)|2025|90.94|91.75|94.37|95.06|96.96|99.68|100.86|102.19|105.29|106.28|107.47|109.17|
||2026|111.99||||||||||||
|05311. (Elektrikli Büyük Mutfak Eşyaları)|2025|91.73|91.83|94.6|94.18|96.33|99.16|100.11|101.83|105.8|106.92|107.84|109.68|
||2026|111.89||||||||||||
|05312. (Çamaşır Makineleri Ve Kurutma Makineleri)|2025|88.56|90.67|92.79|94.44|97.18|100.34|101.95|101.93|106.53|107.58|108.32|109.71|
||2026|112.87||||||||||||
|05313. (Isıtıcılar, Klimalar)|2025|88.65|91.75|95.12|98.25|99.08|100.09|100.85|102.74|102.99|104.4|107.19|108.87|
||2026|111.76||||||||||||
|05314. (Temizlik Ekipmanları (Elektrik Süpürgesi Vb.))|2025|95.25|93.62|95.52|96.16|96.54|100.26|102.26|103.73|103.44|103.09|104.22|105.91|
||2026|109.9||||||||||||
|0532. (Küçük Ev Aletleri)|2025|92.07|93.41|93.51|95.84|95.02|100.59|102.48|104.09|104.65|107.79|104.3|106.25|
||2026|111.92||||||||||||
|05321. (Yiyecek Pişirme Ve İşlemede Kullanılan Küçük Aletler)|2025|92.36|93.25|93.61|95.64|96.82|100.79|102.94|104.3|105.17|108.14|102.07|104.91|
||2026|106.75||||||||||||
|05322. (İçecek Hazırlamada Kullanılan Küçük Aletler)|2025|91.14|93.68|93.55|96.35|92.69|100.34|103.11|104.4|104.95|107.52|107.12|105.14|
||2026|116.89||||||||||||
|05329. (Diğer Küçük Ev Aletleri)|2025|92.76|93.42|93.14|95.6|93.48|100.41|99.93|102.89|102.53|107.16|106.35|112.34|
||2026|118.77||||||||||||
|0533. (Ev Aletlerinin Onarımı, Kurulumu Ve Kiralanması)|2025|87.45|93.04|94.42|94.95|97.2|98.07|99.9|102.38|105.47|108.0|109.2|109.93|
||2026|119.8||||||||||||
|05330. (Ev Aletlerinin Onarımı, Kurulumu Ve Kiralanması)|2025|87.45|93.04|94.42|94.95|97.2|98.07|99.9|102.38|105.47|108.0|109.2|109.93|
||2026|119.8||||||||||||
